GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LibreriaMaven Maven Webapp,laptop.database,ContrassegnoDao,23,96,1,3,7,31,1,5,0,4
LibreriaMaven Maven Webapp,laptop.database,RivistaDao,97,671,2,10,26,137,3,16,1,12
LibreriaMaven Maven Webapp,laptop.database,PagamentoDao,28,157,1,5,8,44,1,7,0,5
LibreriaMaven Maven Webapp,laptop.database,NegozioDao,31,168,2,8,9,50,2,9,0,6
LibreriaMaven Maven Webapp,laptop.database,GiornaleDao,132,605,2,10,37,121,4,15,2,11
LibreriaMaven Maven Webapp,laptop.database,UsersDao,214,509,7,13,62,136,8,16,3,11
LibreriaMaven Maven Webapp,laptop.database,GenerateDaoReportClass,97,682,14,52,26,177,13,44,0,15
LibreriaMaven Maven Webapp,laptop.database,CsvDao,303,178,20,14,66,46,16,9,4,4
LibreriaMaven Maven Webapp,laptop.database,LibroDao,103,772,3,11,30,153,4,16,1,12
LibreriaMaven Maven Webapp,laptop.database,CartaCreditoDao,21,183,1,5,6,50,1,6,0,4
LibreriaMaven Maven Webapp,laptop.model,CartaDiCredito,47,93,0,0,19,30,8,15,8,15
LibreriaMaven Maven Webapp,laptop.model,Fattura,45,35,0,0,13,16,5,10,5,10
LibreriaMaven Maven Webapp,laptop.model,Negozio,23,35,0,0,8,13,5,6,5,6
LibreriaMaven Maven Webapp,laptop.model,User.Ruoli,0,27,0,0,0,5,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model,User,15,86,1,5,2,31,2,21,1,18
LibreriaMaven Maven Webapp,laptop.model,TempUser.RuoliT,0,27,0,0,0,5,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model,TempUser,13,88,0,6,2,31,2,21,2,17
LibreriaMaven Maven Webapp,laptop.model,Pagamento,9,111,1,1,3,40,2,17,1,17
LibreriaMaven Maven Webapp,laptop.model.raccolta,Factory,14,275,1,15,4,43,1,17,0,9
LibreriaMaven Maven Webapp,laptop.model.raccolta,MatchParam,0,62,0,0,0,16,0,3,0,3
LibreriaMaven Maven Webapp,laptop.model.raccolta,Giornale,12,252,1,3,3,72,1,27,0,26
LibreriaMaven Maven Webapp,laptop.model.raccolta,CategorieRivista,0,87,0,0,0,5,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model.raccolta,Libro,158,608,16,44,18,170,16,78,0,39
LibreriaMaven Maven Webapp,laptop.model.raccolta,CategorieLibro,0,183,0,0,0,10,0,1,0,1
LibreriaMaven Maven Webapp,laptop.model.raccolta,Rivista,12,352,1,18,3,109,1,45,0,30
LibreriaMaven Maven Webapp,web.bean,SystemBean,32,54,0,2,14,23,9,15,9,14
LibreriaMaven Maven Webapp,web.bean,RivistaBean,45,145,1,16,15,46,11,31,10,17
